QUESTIONNAIRE INITIAL,,,,,,,,,,,,
,,,,,,,Questionnaire Initial,,,,,
N,Session ,SEXE,Naissance,Experience ,Domaine,Pedagogie,Q1,Q2,Q3,Q4,Q5,Q6
S1,2012-novembre,Homme,1988,SXP,,Passive,FAUX,FAUX,FAUX,FAUX,JUSTE,FAUX
S2,2012-novembre,Homme,1978,SXP,,Passive,FAUX,NSP,JUSTE,NSP,FAUX,NSP
S3,2012-novembre,Femme,1990,SXP,,Passive,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX
S4,2012-novembre,Femme,1987,SXP,,Passive,JUSTE,FAUX,NSP,JUSTE,FAUX,JUSTE
S5,2012-novembre,Femme,1984,XPM3,Pro,Passive,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX
S6,2012-novembre,Homme,1955,SXP,,Passive,FAUX,NSP,NSP,FAUX,FAUX,FAUX
S7,2012-novembre,Femme,1980,SXP,,Passive,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX
S8,2012-novembre,Homme,1990,SXP,,Passive,FAUX,FAUX,FAUX,JUSTE,JUSTE,FAUX
S9,2012-novembre,Homme,1982,SXP,,Passive,NSP,NSP,FAUX,FAUX,JUSTE,FAUX
S10,2012-novembre,Homme,1991,SXP,,Passive,JUSTE,NSP,FAUX,FAUX,FAUX,FAUX
S11,2012-novembre,Homme,1989,SXP,,Passive,FAUX,NSP,FAUX,FAUX,JUSTE,FAUX
S12,2012-novembre,Homme,1966,XPP3,SPV,Active,JUSTE,JUSTE,JUSTE,FAUX,NSP,FAUX
S13,2012-novembre,Homme,1988,XPP3,Pro,Active,FAUX,FAUX,JUSTE,FAUX,FAUX,FAUX
S14,2012-novembre,Homme,1989,SXP,,Active,NSP,NSP,FAUX,FAUX,FAUX,FAUX
S15,2012-novembre,Femme,1982,SXP,,Active,NSP,FAUX,FAUX,FAUX,FAUX,NSP
S16,2012-novembre,Homme,1986,SXP,,Active,FAUX,FAUX,FAUX,JUSTE,FAUX,FAUX
S17,2012-novembre,Homme,1986,SXP,,Active,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX
S18,2012-novembre,Femme,1982,XPM3,ASSOC,Active,JUSTE,FAUX,FAUX,FAUX,JUSTE,FAUX
S19,2012-novembre,Femme,1961,SXP,,Active,FAUX,NSP,FAUX,FAUX,FAUX,NSP
S20,2012-novembre,Femme,1989,SXP,,Active,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX
S21,2012-novembre,Homme,1987,XPM3,SPV,Active,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX
S22,2012-novembre,Femme,1964,SXP,,Active,FAUX,JUSTE,JUSTE,FAUX,FAUX,JUSTE
S23,2013-janvier,Femme,1980,SXP,,Passive,FAUX,NSP,JUSTE,FAUX,FAUX,FAUX
S24,2013-janvier,Homme,1990,SXP,,Passive,FAUX,JUSTE,FAUX,FAUX,JUSTE,FAUX
S25,2013-janvier,Homme,1977,SXP,,Passive,FAUX,FAUX,FAUX,JUSTE,JUSTE,FAUX
S26,2013-janvier,Femme,,SXP,,Passive,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX
S27,2013-janvier,Homme,1989,SXP,,Passive,JUSTE,NSP,FAUX,FAUX,JUSTE,FAUX
S28,2013-janvier,Homme,1983,SXP,,Passive,FAUX,FAUX,NSP,JUSTE,JUSTE,FAUX
S29,2013-janvier,Homme,1989,SXP,,Passive,FAUX,JUSTE,FAUX,JUSTE,JUSTE,FAUX
S30,2013-janvier,Homme,1979,SXP,,Passive,JUSTE,JUSTE,FAUX,FAUX,JUSTE,FAUX
S31,2013-janvier,Femme,1980,XPP3,SPV,Passive,JUSTE,FAUX,JUSTE,FAUX,FAUX,FAUX
S32,2013-janvier,Femme,1985,SXP,,Active,FAUX,FAUX,JUSTE,FAUX,FAUX,FAUX
S33,2013-janvier,Homme,1966,XPP3,Pro,Active,FAUX,FAUX,FAUX,FAUX,JUSTE,NSP
