"N.","Session","Né.en","Q1","Q1.NSP","Q2","Q2.NSP","Q3","Q3.NSP","Q4","Q4.NSP","Q5","Q5.NSP","Q6","Q6.NSP","sexe","exp","origine","pedago","Q1i"
"S1","2012-novembre",1988,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,"H","SXP",NA,"Passive","faux"
"S2","2012-novembre",1978,0,NA,NA,1,1,NA,NA,1,0,NA,NA,1,"H","SXP",NA,"Passive","faux"
"S3","2012-novembre",1990,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"F","SXP",NA,"Passive","faux"
"S4","2012-novembre",1987,1,NA,0,NA,NA,1,1,NA,0,NA,1,NA,"F","SXP",NA,"Passive","Juste"
"S5","2012-novembre",1984,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"F","XPM3","PRO","Passive","faux"
"S6","2012-novembre",1955,0,NA,NA,1,NA,NA,0,NA,0,NA,0,NA,"H","SXP",NA,"Passive","faux"
"S7","2012-novembre",1980,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"F","SXP",NA,"Passive","faux"
"S8","2012-novembre",1990,0,NA,0,NA,0,NA,1,NA,1,NA,0,NA,"H","SXP",NA,"Passive","faux"
"S9","2012-novembre",1982,NA,1,NA,1,0,NA,0,NA,1,NA,0,NA,"H","SXP",NA,"Passive","NSP"
"S10","2012-novembre",1991,1,NA,NA,1,0,NA,0,NA,0,NA,0,NA,"H","SXP",NA,"Passive","Juste"
"S11","2012-novembre",1989,0,NA,NA,1,0,NA,0,NA,1,NA,0,NA,"H","SXP",NA,"Passive","faux"
"S12","2012-novembre",1966,1,NA,1,NA,1,NA,0,NA,NA,1,0,NA,"H","XPP3","SPV","Active","Juste"
"S13","2012-novembre",1988,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,"H","XPP3","PRO","Active","faux"
"S14","2012-novembre",1989,NA,1,NA,NA,0,NA,0,NA,0,NA,0,NA,"H","SXP",NA,"Active","NSP"
"S15","2012-novembre",1982,NA,1,0,NA,0,NA,0,NA,0,NA,NA,1,"F","SXP",NA,"Active","NSP"
"S16","2012-novembre",1986,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,"H","SXP",NA,"Active","faux"
"S17","2012-novembre",1986,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"H","SXP",NA,"Active","faux"
